variable,label,category,total,nunique,n_missing_marked,missing_rate,sample_values,encoding_suggestion
AGE7,Age: 7 category,persona,459.0,7.0,0.0,0.0,"(3) 35-44, (6) 65-74, (4) 45-54, (7) 75+, (5) 55-64, (2) 25-34, (1) 18-24",有序编码（保留等级顺序），并对缺失码另设指示器。
AGE4,Age: 4 category,persona,459.0,4.0,0.0,0.0,"(2) 30-44, (4) 60+, (3) 45-59, (1) 18-29",有序编码（保留等级顺序），并对缺失码另设指示器。
GENDER,Are you male or female,persona,459.0,3.0,0.0,0.0,"(2) Female, (1) Male, (98) SKIPPED ON WEB",One-Hot 编码；77/98/99 视为缺失并加缺失指示器。
RACETH,Race/ethnicity,persona,459.0,4.0,0.0,0.0,"(1) White, non-Hispanic, (4) Other, non-Hispanic, (3) Hispanic, (2) Black, non-Hispanic",One-Hot 或目标编码（视基数与样本量）；缺失码单独处理。
HHINCOME,Household income,persona,459.0,12.0,0.0,0.0,"$20,000 to under $30,000, $50,000 to under $75,000, $100,000 to under $150,000, $10,000 to under $20,000, $150,000 or more, $75,000 to under $100,000, SKIPPED ON WEB, $30,000 to under $40,000, $40,000 to under $50,000, Under $10,000",One-Hot 或目标编码（视基数与样本量）；缺失码单独处理。
EDUC4,Education: 4 categories,persona,459.0,5.0,0.0,0.0,"(3) Some college, (4) BA or above, (2) HS graduate or equivalent, (1) No HS diploma, (98) SKIPPED ON WEB",One-Hot 或目标编码（视基数与样本量）；缺失码单独处理。
EDUCATION,What is the highest level of school you have completed?,persona,459.0,8.0,0.0,0.0,"(3) Some college, no degree, (5) Bachelors degree, (2) HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED), (6) Masters degree, (4) Associate degree, (7) Professional or Doctorate degree, (1) No HS diploma, (98) SKIPPED ON WEB",One-Hot 或目标编码（视基数与样本量）；缺失码单独处理。
HHSIZE1,Household size (including children),persona,459.0,7.0,0.0,0.0,"(4) Four persons, (1) One person, I live by myself, (3) Three persons, (2) Two persons, (6) Six or more persons, (98) SKIPPED ON WEB, (5) Five persons",One-Hot 或目标编码（视基数与样本量）；缺失码单独处理。
HH01S,Number of HH members age 0-1,persona,459.0,2.0,0.0,0.0,"0, 1",One-Hot 编码；77/98/99 视为缺失并加缺失指示器。
HH25S,Number of HH members age 2-5,persona,459.0,3.0,0.0,0.0,"1, 0, 2",One-Hot 编码；77/98/99 视为缺失并加缺失指示器。
HH612S,Number of HH members age 6-12,persona,459.0,5.0,0.0,0.0,"0, 1, 2, 4, 3",One-Hot 编码；77/98/99 视为缺失并加缺失指示器。
HH1317S,Number of HH members age 13-17,persona,459.0,6.0,0.0,0.0,"2, 0, 1, 3, 4, 5",One-Hot 编码；77/98/99 视为缺失并加缺失指示器。
HH18OVS,Number of HH members age 18+,persona,459.0,7.0,0.0,0.0,"1, 3, 2, 4, 5, 8, 12",One-Hot 编码；77/98/99 视为缺失并加缺失指示器。
