bin_left,bin_right,n,mean_pred,frac_pos
0.0,0.1,1172,0.07572068206877144,0.011945392491467578
0.1,0.2,481,0.14512600424569017,0.07068607068607069
0.2,0.30000000000000004,216,0.2424037466478156,0.125
0.30000000000000004,0.4,202,0.3479135214194427,0.16336633663366337
0.4,0.5,148,0.44989613196626266,0.2905405405405405
0.5,0.6000000000000001,211,0.5542887008120365,0.3696682464454976
0.6000000000000001,0.7000000000000001,204,0.6541209052869009,0.5490196078431373
0.7000000000000001,0.8,314,0.7537385873977615,0.7261146496815286
0.8,0.9,690,0.857731052415033,0.881159420289855
0.9,1.0,1379,0.933608064536946,0.9521392313270486
