STATE,WEEK,SU_ID,perception,ECON1,ECON2,ECON1_worked,ECON2_hours
TX,1,0021874082,0.217,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027674471,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0029529847,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",20,1.0,20.0
NY,1,0021147146,0.725,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027219242,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",36,1.0,36.0
NY,1,0020061727,0.2,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023413941,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,1,0023766970,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028825507,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0024511061,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028232491,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020962524,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0040008373,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020537812,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
NY,1,0022455144,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021133214,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0024353392,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025707190,0.2,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028675891,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040002845,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040010658,0.275,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040005902,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0023242389,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040001155,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040010499,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0022094074,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0024702115,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040002307,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040004010,0.237,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040010665,0.273,"(1) Yes, I worked for someone else for wages, salary, piece",30,1.0,30.0
NY,1,0020599450,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040000060,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040002329,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026206474,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023750227,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040002467,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",30,1.0,30.0
TX,1,0021103677,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0026197927,0.032,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010307,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040000666,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028203739,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",30,1.0,30.0
TX,1,0028904912,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026766407,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
