STATE,SU_ID,n_obs,econ1_n,econ1_corr,econ1_slope,econ1_r2,econ2_n,econ2_corr,econ2_slope,econ2_r2
NY,0020001173,1,0,,,,0,,,
NY,0020015579,1,0,,,,0,,,
NY,0020016311,1,0,,,,0,,,
NY,0020032720,1,0,,,,0,,,
NY,0020039536,1,0,,,,0,,,
NY,0020057990,1,0,,,,0,,,
NY,0020061727,1,0,,,,0,,,
NY,0020065523,1,0,,,,0,,,
NY,0020068437,1,0,,,,0,,,
NY,0020071601,1,0,,,,0,,,
NY,0020077344,1,0,,,,0,,,
NY,0020082355,1,0,,,,0,,,
NY,0020089344,1,0,,,,0,,,
NY,0020092622,1,0,,,,0,,,
NY,0020106652,1,0,,,,0,,,
NY,0020111701,1,0,,,,0,,,
NY,0020126621,1,0,,,,0,,,
NY,0020132995,1,0,,,,0,,,
NY,0020139488,1,0,,,,0,,,
NY,0020146062,1,0,,,,0,,,
NY,0020159325,1,0,,,,0,,,
NY,0020166411,1,0,,,,0,,,
NY,0020173105,1,0,,,,0,,,
NY,0020173125,1,0,,,,0,,,
NY,0020181845,1,0,,,,0,,,
NY,0020193467,1,0,,,,0,,,
NY,0020207263,1,0,,,,0,,,
NY,0020237757,1,0,,,,0,,,
NY,0020240555,1,0,,,,0,,,
NY,0020241533,1,0,,,,0,,,
NY,0020248573,1,0,,,,0,,,
NY,0020261228,1,0,,,,0,,,
NY,0020267586,1,0,,,,0,,,
NY,0020274308,1,0,,,,0,,,
NY,0020275253,1,0,,,,0,,,
NY,0020282022,1,0,,,,0,,,
NY,0020296740,1,0,,,,0,,,
NY,0020298708,1,0,,,,0,,,
NY,0020304751,1,0,,,,0,,,
NY,0020314516,1,0,,,,0,,,
NY,0020314848,1,0,,,,0,,,
NY,0020318647,1,0,,,,0,,,
NY,0020324741,1,0,,,,0,,,
NY,0020328396,1,0,,,,0,,,
NY,0020334884,1,0,,,,0,,,
NY,0020355595,1,0,,,,0,,,
NY,0020361535,1,0,,,,0,,,
NY,0020365337,1,0,,,,0,,,
NY,0020368486,1,0,,,,0,,,
NY,0020374004,1,0,,,,0,,,
NY,0020388779,1,0,,,,0,,,
NY,0020389664,1,0,,,,0,,,
NY,0020402954,1,0,,,,0,,,
NY,0020410274,1,0,,,,0,,,
NY,0020423435,1,0,,,,0,,,
NY,0020429686,1,0,,,,0,,,
NY,0020439063,1,0,,,,0,,,
NY,0020456818,1,0,,,,0,,,
NY,0020457754,1,0,,,,0,,,
NY,0020476852,1,0,,,,0,,,
NY,0020479973,1,0,,,,0,,,
NY,0020487124,1,0,,,,0,,,
NY,0020494933,1,0,,,,0,,,
NY,0020502659,1,0,,,,0,,,
NY,0020507439,1,0,,,,0,,,
NY,0020512687,1,0,,,,0,,,
NY,0020529303,1,0,,,,0,,,
NY,0020537812,1,0,,,,0,,,
NY,0020554295,1,0,,,,0,,,
NY,0020567297,1,0,,,,0,,,
NY,0020574348,1,0,,,,0,,,
NY,0020576013,1,0,,,,0,,,
NY,0020599450,1,0,,,,0,,,
NY,0020610476,1,0,,,,0,,,
NY,0020634816,1,0,,,,0,,,
NY,0020641570,1,0,,,,0,,,
NY,0020660691,1,0,,,,0,,,
NY,0020663118,1,0,,,,0,,,
NY,0020664615,1,0,,,,0,,,
NY,0020667934,1,0,,,,0,,,
NY,0020678566,1,0,,,,0,,,
NY,0020689845,1,0,,,,0,,,
NY,0020711023,1,0,,,,0,,,
NY,0020712724,1,0,,,,0,,,
NY,0020718617,1,0,,,,0,,,
NY,0020725807,1,0,,,,0,,,
NY,0020726891,1,0,,,,0,,,
NY,0020727814,1,0,,,,0,,,
NY,0020768183,1,0,,,,0,,,
NY,0020774858,1,0,,,,0,,,
NY,0020775862,1,0,,,,0,,,
NY,0020783643,1,0,,,,0,,,
NY,0020800441,1,0,,,,0,,,
NY,0020802180,1,0,,,,0,,,
NY,0020813093,1,0,,,,0,,,
NY,0020815637,1,0,,,,0,,,
NY,0020818287,1,0,,,,0,,,
NY,0020834620,1,0,,,,0,,,
NY,0020839293,1,0,,,,0,,,
NY,0020843359,1,0,,,,0,,,
NY,0020845362,1,0,,,,0,,,
NY,0020862164,1,0,,,,0,,,
NY,0020866682,1,0,,,,0,,,
NY,0020866896,1,0,,,,0,,,
NY,0020867931,1,0,,,,0,,,
NY,0020869782,1,0,,,,0,,,
NY,0020873126,1,0,,,,0,,,
NY,0020880512,1,0,,,,0,,,
NY,0020884670,1,0,,,,0,,,
NY,0020890384,1,0,,,,0,,,
NY,0020904735,1,0,,,,0,,,
NY,0020929000,1,0,,,,0,,,
NY,0020931103,1,0,,,,0,,,
NY,0020956225,1,0,,,,0,,,
NY,0020956960,1,0,,,,0,,,
NY,0020962524,1,0,,,,0,,,
NY,0020973012,1,0,,,,0,,,
NY,0020974231,1,0,,,,0,,,
NY,0020985180,1,0,,,,0,,,
NY,0021003450,1,0,,,,0,,,
NY,0021003733,1,0,,,,0,,,
NY,0021004775,1,0,,,,0,,,
NY,0021005090,1,0,,,,0,,,
NY,0021008820,1,0,,,,0,,,
NY,0021043572,1,0,,,,0,,,
NY,0021057161,1,0,,,,0,,,
NY,0021100207,1,0,,,,0,,,
NY,0021129624,1,0,,,,0,,,
NY,0021133214,1,0,,,,0,,,
NY,0021134527,1,0,,,,0,,,
NY,0021147146,1,0,,,,0,,,
NY,0021181924,1,0,,,,0,,,
NY,0021187972,1,0,,,,0,,,
NY,0021192352,1,0,,,,0,,,
NY,0021193446,1,0,,,,0,,,
NY,0021201803,1,0,,,,0,,,
NY,0021231835,1,0,,,,0,,,
NY,0021245762,1,0,,,,0,,,
NY,0021261803,1,0,,,,0,,,
NY,0021264900,1,0,,,,0,,,
NY,0021308645,1,0,,,,0,,,
NY,0021315711,1,0,,,,0,,,
NY,0021349945,1,0,,,,0,,,
NY,0021366207,1,0,,,,0,,,
NY,0021370147,1,0,,,,0,,,
NY,0021382341,1,0,,,,0,,,
